close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
,,3.2,6/8,78.2,360ONE,False,False
,,13.11,5/8,75.61,3MINDIA,False,False
,,8.6,5/8,71.1,ABB,False,False
,,-4.41,1/8,8.09,ACC,False,False
,,29.06,4/8,79.06,ACMESOLAR,False,False
,,19.16,5/8,81.66,AIAENG,False,False
,,0.47,6/8,75.47,APLAPOLLO,False,False
,,2.19,6/8,77.19,AUBANK,False,False
,,-8.15,3/8,29.35,AWL,False,False
,,-1.19,2/8,23.81,AADHARHFC,False,False
,,0.91,6/8,75.91,AARTIIND,False,False
,,-4.46,2/8,20.54,AAVAS,False,False
,,6.18,4/8,56.18,ABBOTINDIA,False,False
,,12.08,5/8,74.58,ACE,False,False
,,12.75,3/8,50.25,ACUTAAS,False,False
,,18.25,3/8,55.75,ADANIENSOL,False,False
,,17.11,3/8,54.61,ADANIENT,True,False
,,-4.32,2/8,20.68,ADANIGREEN,False,False
,,-7.96,1/8,4.54,ADANIPORTS,False,False
,,-8.62,1/8,3.88,ADANIPOWER,False,False
,,4.64,2/8,29.64,ATGL,False,False
,,10.96,5/8,73.46,ABCAPITAL,False,False
,,-12.83,3/8,24.67,ABFRL,False,False
,,-20.59,1/8,-8.09,ABLBL,False,False
,,-6.78,3/8,30.72,ABREL,False,False
,,-3.75,1/8,8.75,ABSLAMC,False,False
,,50.56,6/8,125.56,CPPLUS,False,False
,,87.19,4/8,137.19,AEGISLOG,False,False
,,29.44,5/8,91.94,AEGISVOPAK,False,False
,,-23.3,1/8,-10.8,AFCONS,False,False
,,-0.32,4/8,49.68,AFFLE,False,False
,,12.75,5/8,75.25,AJANTPHARM,False,False
,,-2.08,3/8,35.42,ALKEM,False,False
,,3.49,4/8,53.49,ABDL,False,False
,,8.59,5/8,71.09,ARE&M,False,False
,,-21.01,2/8,3.99,AMBER,False,False
,,-5.07,2/8,19.93,AMBUJACEM,False,False
,,18.61,6/8,93.61,ANANDRATHI,False,False
,,10.0,5/8,72.5,ANANTRAJ,False,False
,,-10.6,1/8,1.9,ANGELONE,False,False
,,12.71,6/8,87.71,ANTHEM,False,False
