close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
1189.8,-1.1,4.85,8/8,104.85,360ONE,False,True
33885.0,-8.66,1.08,5/8,63.58,3MINDIA,False,False
7504.0,-2.67,11.39,6/8,86.39,ABB,False,True
1300.9,-31.63,-5.9,0/8,-5.9,ACC,False,False
409.15,0.0,38.88,8/8,138.88,ACMESOLAR,False,True
4276.3,-15.84,4.96,2/8,29.96,AIAENG,False,False
2145.0,-5.95,11.96,7/8,99.46,APLAPOLLO,False,True
1114.0,0.0,11.92,8/8,111.92,AUBANK,False,True
193.88,-29.79,-2.23,2/8,22.77,AWL,False,False
466.45,-16.18,-4.0,1/8,8.5,AADHARHFC,False,False
543.15,0.0,11.95,8/8,111.95,AARTIIND,False,True
1336.3,-23.04,-6.45,1/8,6.05,AAVAS,False,False
26420.0,-17.15,-4.95,1/8,7.55,ABBOTINDIA,False,False
1167.2,-1.49,30.24,8/8,130.24,ACE,False,True
3173.0,-14.12,5.41,4/8,55.41,ACUTAAS,False,False
1555.1,-10.71,11.58,5/8,74.08,ADANIENSOL,False,False
2998.6,-6.65,8.29,4/8,58.29,ADANIENT,True,False
1308.0,-18.48,-6.09,1/8,6.41,ADANIGREEN,False,False
1672.1,-11.21,-8.14,2/8,16.86,ADANIPORTS,False,False
203.7,-18.16,-9.23,2/8,15.77,ADANIPOWER,False,False
639.6,-20.87,-4.09,3/8,33.41,ATGL,False,False
412.9,-2.78,13.45,7/8,100.95,ABCAPITAL,False,True
53.95,-42.29,-22.0,0/8,-22.0,ABFRL,False,False
85.13,-42.62,-18.22,1/8,-5.72,ABLBL,False,False
1429.8,-25.83,12.5,5/8,75.0,ABREL,False,False
998.7,-14.62,-0.92,2/8,24.08,ABSLAMC,False,False
3419.5,-12.3,39.49,5/8,101.99,CPPLUS,False,False
1341.5,-5.39,84.05,7/8,171.55,AEGISLOG,False,True
270.3,-10.94,28.33,4/8,78.33,AEGISVOPAK,False,False
278.65,-39.75,-8.66,1/8,3.84,AFCONS,False,False
1740.0,-18.95,19.47,5/8,81.97,AFFLE,False,False
3579.9,-3.72,14.15,7/8,101.65,AJANTPHARM,False,True
5350.0,-8.27,-2.94,3/8,34.56,ALKEM,False,False
610.35,-13.14,12.69,4/8,62.69,ABDL,False,False
922.8,-11.23,11.01,5/8,73.51,ARE&M,False,False
7378.0,-16.56,-1.85,3/8,35.65,AMBER,False,False
408.75,-30.57,-7.97,2/8,17.03,AMBUJACEM,False,False
2167.9,-1.41,19.16,6/8,94.16,ANANDRATHI,False,True
614.6,-16.31,20.05,6/8,95.05,ANANTRAJ,False,False
286.0,-19.14,-17.57,2/8,7.43,ANGELONE,False,False
883.35,-1.63,11.86,7/8,99.36,ANTHEM,False,True
1255.5,-8.76,-10.2,3/8,27.3,ANURAS,False,False
16705.0,-7.19,28.58,8/8,128.58,APARINDS,False,True
8702.0,-3.73,2.07,6/8,77.07,APOLLOHOSP,True,True
445.85,-15.9,18.5,3/8,56.0,APOLLOTYRE,False,False
254.35,-27.24,-4.41,1/8,8.09,APTUS,False,False
962.15,-9.78,10.29,7/8,97.79,ASAHIINDIA,False,True
173.29,-16.83,9.29,4/8,59.29,ASHOKLEY,False,False
2640.8,-10.27,-1.2,2/8,23.8,ASIANPAINT,True,False
750.9,-13.66,-2.86,4/8,47.14,ASTERDM,False,False
1532.8,-12.09,-2.53,4/8,47.47,ASTRAL,False,False
1453.1,-7.41,62.31,6/8,137.31,ATHERENERG,False,True
6425.0,-9.16,-10.32,2/8,14.68,ATUL,False,False
1608.0,-3.54,7.77,6/8,82.77,AUROPHARMA,False,True
554.9,-16.92,6.54,4/8,56.54,AIIL,False,False
3940.0,-18.41,-6.41,0/8,-6.41,DMART,False,False
1236.0,-11.84,-5.88,1/8,6.62,AXISBANK,True,False
1915.0,-14.1,2.66,6/8,77.66,BEML,False,False
241.51,-34.49,-11.89,2/8,13.11,BLS,False,False
3312.7,-24.57,-22.91,1/8,-10.41,BSE,False,False
11800.0,-0.47,11.32,6/8,86.32,BAJAJ-AUTO,True,True
1077.0,-7.06,16.12,6/8,91.12,BAJFINANCE,True,True
2001.7,-7.96,11.34,6/8,86.34,BAJAJFINSV,True,True
11120.0,-17.42,5.29,6/8,80.29,BAJAJHLDNG,False,False
84.05,-27.49,-0.93,1/8,11.57,BAJAJHFL,False,False
2358.4,-12.87,5.06,4/8,55.06,BALKRISIND,False,False
695.5,-9.33,27.87,8/8,127.87,BALRAMCHIN,False,True
173.9,-19.07,-11.97,2/8,13.03,BANDHANBNK,False,False
241.5,-23.16,-8.17,2/8,16.83,BANKBARODA,False,False
142.0,-17.25,2.69,3/8,40.19,BANKINDIA,False,False
80.7,-14.01,0.25,4/8,50.25,MAHABANK,False,False
