close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
1091.0,-9.83,1.51,4/8,51.51,360ONE,False,False
32710.0,-11.83,5.46,2/8,30.46,3MINDIA,False,False
7274.0,-5.65,8.51,6/8,83.51,ABB,False,True
1246.5,-34.49,-4.86,0/8,-4.86,ACC,False,False
402.3,-3.76,20.77,6/8,95.77,ACMESOLAR,False,True
4096.6,-19.08,-5.8,1/8,6.7,AIAENG,False,False
2153.5,-5.22,19.89,7/8,107.39,APLAPOLLO,False,True
1058.9,-6.18,9.01,5/8,71.51,AUBANK,False,False
185.02,-33.0,-0.72,1/8,11.78,AWL,False,False
456.8,-17.92,-2.61,1/8,9.89,AADHARHFC,False,False
492.7,-9.11,14.37,5/8,76.87,AARTIIND,False,False
1275.1,-26.57,-5.02,1/8,7.48,AAVAS,False,False
25550.0,-16.34,-0.7,1/8,11.8,ABBOTINDIA,False,False
1129.0,-4.53,25.79,6/8,100.79,ACE,False,True
3383.7,-8.42,7.15,6/8,82.15,ACUTAAS,False,True
1373.0,-21.16,-6.88,1/8,5.62,ADANIENSOL,False,False
3060.0,-4.74,5.69,6/8,80.69,ADANIENT,True,True
1281.3,-20.14,-12.81,3/8,24.69,ADANIGREEN,False,False
1764.6,-6.3,-1.86,5/8,60.64,ADANIPORTS,False,False
209.97,-15.64,-4.92,4/8,45.08,ADANIPOWER,False,False
594.8,-26.41,-17.94,0/8,-17.94,ATGL,False,False
395.0,-6.99,16.33,5/8,78.83,ABCAPITAL,False,False
50.44,-46.04,-14.84,1/8,-2.34,ABFRL,False,False
83.61,-43.17,-13.58,1/8,-1.08,ABLBL,False,False
1281.6,-33.52,8.08,2/8,33.08,ABREL,False,False
1109.9,-5.11,5.45,7/8,92.95,ABSLAMC,False,True
3825.5,-1.89,14.32,7/8,101.82,CPPLUS,False,True
1353.6,-4.53,45.04,7/8,132.54,AEGISLOG,False,True
