close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
1181.3,-2.37,7.97,7/8,95.47,360ONE,False,True
32895.0,-11.33,0.68,3/8,38.18,3MINDIA,False,False
7447.5,-3.4,2.54,6/8,77.54,ABB,False,True
1266.6,-33.43,-7.87,1/8,4.63,ACC,False,False
398.25,-2.66,18.86,8/8,118.86,ACMESOLAR,False,True
4159.7,-18.14,-10.17,1/8,2.33,AIAENG,False,False
2210.0,-3.1,20.24,8/8,120.24,APLAPOLLO,False,True
1077.9,-4.49,8.99,6/8,83.99,AUBANK,False,True
191.25,-30.75,-1.09,2/8,23.91,AWL,False,False
475.4,-14.57,0.63,2/8,25.63,AADHARHFC,False,False
505.2,-6.99,6.75,6/8,81.75,AARTIIND,False,True
1258.7,-27.51,-6.24,1/8,6.26,AAVAS,False,False
26045.0,-18.18,-0.79,0/8,-0.79,ABBOTINDIA,False,False
1090.9,-7.93,23.64,6/8,98.64,ACE,False,True
3134.9,-15.15,-2.2,3/8,35.3,ACUTAAS,False,False
1396.6,-19.81,-8.64,2/8,16.36,ADANIENSOL,False,False
2891.8,-9.97,-3.29,4/8,46.71,ADANIENT,True,False
1296.0,-19.23,-11.39,3/8,26.11,ADANIGREEN,False,False
1672.7,-11.18,-9.05,3/8,28.45,ADANIPORTS,False,False
207.7,-16.56,-12.85,3/8,24.65,ADANIPOWER,False,False
614.95,-23.92,-16.45,0/8,-16.45,ATGL,False,False
397.05,-6.51,11.68,7/8,99.18,ABCAPITAL,False,True
50.47,-46.01,-18.81,0/8,-18.81,ABFRL,False,False
82.78,-44.2,-17.45,1/8,-4.95,ABLBL,False,False
1331.1,-30.95,4.09,3/8,41.59,ABREL,False,False
1022.0,-12.63,-0.79,4/8,49.21,ABSLAMC,False,False
3721.4,-4.56,8.33,7/8,95.83,CPPLUS,False,True
1241.8,-12.42,61.98,4/8,111.98,AEGISLOG,False,False
286.3,-5.66,46.28,7/8,133.78,AEGISVOPAK,False,True
285.1,-38.36,-13.49,2/8,11.51,AFCONS,False,False
1517.9,-29.29,1.11,5/8,63.61,AFFLE,False,False
3481.7,-6.36,17.78,6/8,92.78,AJANTPHARM,False,True
5210.0,-10.67,-3.21,1/8,9.29,ALKEM,False,False
604.4,-13.99,4.37,4/8,54.37,ABDL,False,False
871.25,-16.19,-0.15,3/8,37.35,ARE&M,False,False
7415.0,-16.14,-3.41,3/8,34.09,AMBER,False,False
402.7,-31.59,-7.39,0/8,-7.39,AMBUJACEM,False,False
2198.3,-0.68,20.97,7/8,108.47,ANANDRATHI,False,True
588.85,-19.82,5.46,4/8,55.46,ANANTRAJ,False,False
279.25,-21.05,-18.5,2/8,6.5,ANGELONE,False,False
934.5,0.0,22.7,8/8,122.7,ANTHEM,False,True
1240.3,-9.86,-8.72,3/8,28.78,ANURAS,False,False
16813.0,-6.59,22.02,6/8,97.02,APARINDS,False,True
8719.0,-3.55,3.12,6/8,78.12,APOLLOHOSP,True,True
434.15,-18.11,9.45,2/8,34.45,APOLLOTYRE,False,False
254.28,-25.84,-3.46,1/8,9.04,APTUS,False,False
951.05,-10.82,3.09,6/8,78.09,ASAHIINDIA,False,False
167.9,-19.42,12.95,4/8,62.95,ASHOKLEY,False,False
2527.5,-14.12,-6.42,1/8,6.08,ASIANPAINT,True,False
759.9,-12.63,1.85,2/8,26.85,ASTERDM,False,False
1487.0,-14.71,-5.27,3/8,32.23,ASTRAL,False,False
1686.1,-2.29,62.8,8/8,162.8,ATHERENERG,False,True
6485.5,-8.31,-4.25,2/8,20.75,ATUL,False,False
1648.2,-4.01,12.25,8/8,112.25,AUROPHARMA,False,True
507.45,-24.02,9.48,4/8,59.48,AIIL,False,False
3813.4,-21.04,-10.69,0/8,-10.69,DMART,False,False
1253.9,-10.56,-2.2,3/8,35.3,AXISBANK,True,False
2032.4,-8.83,13.63,7/8,101.13,BEML,False,True
