close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
1155.0,-4.55,5.81,7/8,93.31,360ONE,False,True
32820.0,-11.53,1.16,3/8,38.66,3MINDIA,False,False
7432.0,-3.61,3.13,6/8,78.13,ABB,False,True
1272.0,-33.15,-7.24,1/8,5.26,ACC,False,False
401.9,-1.77,14.26,8/8,114.26,ACMESOLAR,False,True
4272.4,-15.92,-9.0,2/8,16.0,AIAENG,False,False
2159.4,-5.32,17.46,7/8,104.96,APLAPOLLO,False,True
1072.0,-5.02,9.59,6/8,84.59,AUBANK,False,True
190.79,-30.91,-0.62,2/8,24.38,AWL,False,False
478.65,-13.99,-0.09,1/8,12.41,AADHARHFC,False,False
501.9,-7.59,7.13,6/8,82.13,AARTIIND,False,True
1297.8,-25.26,-2.15,1/8,10.35,AAVAS,False,False
25945.0,-18.49,0.88,1/8,13.38,ABBOTINDIA,False,False
1145.5,-3.14,30.1,6/8,105.1,ACE,False,True
3201.0,-13.36,-0.8,2/8,24.2,ACUTAAS,False,False
1385.7,-20.44,-10.79,2/8,14.21,ADANIENSOL,False,False
2901.0,-9.69,-4.32,4/8,45.68,ADANIENT,True,False
1283.4,-20.01,-11.78,3/8,25.72,ADANIGREEN,False,False
1706.5,-9.38,-6.26,4/8,43.74,ADANIPORTS,False,False
208.29,-16.32,-11.4,3/8,26.1,ADANIPOWER,False,False
614.05,-24.03,-19.39,0/8,-19.39,ATGL,False,False
402.0,-5.34,11.72,6/8,86.72,ABCAPITAL,False,True
50.41,-46.07,-19.35,0/8,-19.35,ABFRL,False,False
83.49,-43.73,-18.69,1/8,-6.19,ABLBL,False,False
1376.9,-28.57,8.3,3/8,45.8,ABREL,False,False
1045.2,-10.64,1.64,5/8,64.14,ABSLAMC,False,False
3751.3,-3.79,4.14,7/8,91.64,CPPLUS,False,True
1287.2,-9.22,69.27,5/8,131.77,AEGISLOG,False,False
286.85,-5.48,47.92,7/8,135.42,AEGISVOPAK,False,True
294.7,-36.28,-11.01,2/8,13.99,AFCONS,False,False
1519.2,-29.23,0.55,5/8,63.05,AFFLE,False,False
3521.1,-5.3,18.6,5/8,81.1,AJANTPHARM,False,False
5193.0,-10.96,-3.36,1/8,9.14,ALKEM,False,False
609.4,-13.28,5.54,4/8,55.54,ABDL,False,False
860.4,-17.24,-1.23,3/8,36.27,ARE&M,False,False
7410.0,-16.2,-4.67,2/8,20.33,AMBER,False,False
405.0,-31.2,-6.49,0/8,-6.49,AMBUJACEM,False,False
2205.3,-0.37,24.02,7/8,111.52,ANANDRATHI,False,True
628.3,-14.45,4.83,5/8,67.33,ANANTRAJ,False,False
286.0,-19.14,-17.0,2/8,8.0,ANGELONE,False,False
950.7,0.0,25.91,8/8,125.91,ANTHEM,False,True
1240.2,-9.87,-9.96,3/8,27.54,ANURAS,False,False
17704.0,-1.64,27.19,7/8,114.69,APARINDS,False,True
8692.0,-3.84,3.54,6/8,78.54,APOLLOHOSP,True,True
433.85,-18.17,8.3,2/8,33.3,APOLLOTYRE,False,False
257.31,-24.96,-4.1,2/8,20.9,APTUS,False,False
962.25,-9.77,6.0,7/8,93.5,ASAHIINDIA,False,True
169.35,-18.72,15.29,4/8,65.29,ASHOKLEY,False,False
2541.6,-13.64,-5.63,1/8,6.87,ASIANPAINT,True,False
787.0,-9.51,4.68,4/8,54.68,ASTERDM,False,False
1495.2,-14.24,-5.29,3/8,32.21,ASTRAL,False,False
1638.9,-5.02,63.9,8/8,163.9,ATHERENERG,False,True
6469.0,-8.54,-5.48,3/8,32.02,ATUL,False,False
1637.3,-4.64,9.92,7/8,97.42,AUROPHARMA,False,True
519.05,-22.29,13.06,4/8,63.06,AIIL,False,False
3763.0,-22.08,-11.04,0/8,-11.04,DMART,False,False
1267.0,-9.62,-0.78,4/8,49.22,AXISBANK,True,False
2079.4,-6.73,17.91,7/8,105.41,BEML,False,True
240.15,-34.62,-10.76,2/8,14.24,BLS,False,False
3306.1,-24.72,-19.77,2/8,5.23,BSE,False,False
11920.0,-3.57,13.08,7/8,100.58,BAJAJ-AUTO,True,True
1049.0,-9.48,18.75,5/8,81.25,BAJFINANCE,True,False
1992.1,-8.4,14.66,6/8,89.66,BAJAJFINSV,True,True
11165.0,-16.86,9.67,6/8,84.67,BAJAJHLDNG,False,False
82.95,-28.44,-2.51,0/8,-2.51,BAJAJHFL,False,False
2327.3,-14.02,4.6,4/8,54.6,BALKRISIND,False,False
704.35,-8.18,30.4,7/8,117.9,BALRAMCHIN,False,True
164.23,-23.57,-21.32,0/8,-21.32,BANDHANBNK,False,False
240.44,-23.5,-10.46,1/8,2.04,BANKBARODA,False,False
145.0,-15.5,1.85,5/8,64.35,BANKINDIA,False,False
86.32,-8.02,7.73,7/8,95.23,MAHABANK,False,True
677.4,-44.29,5.99,1/8,18.49,BATAINDIA,False,False
3960.8,-23.36,-10.81,1/8,1.69,BAYERCROP,False,False
238.11,-8.89,8.22,5/8,70.72,BELRISE,False,False
491.4,-16.1,-1.78,2/8,23.22,BERGEPAINT,False,False
1257.7,-22.64,1.75,2/8,26.75,BDL,False,False
408.6,-12.66,-2.13,2/8,22.87,BEL,False,False
