close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
1073.5,-11.28,-2.56,0/8,-2.56,360ONE,False,False
34220.0,-7.76,7.38,4/8,57.38,3MINDIA,False,False
7120.5,-7.65,2.47,5/8,64.97,ABB,False,False
1238.2,-34.92,-5.06,2/8,19.94,ACC,False,False
458.65,0.0,34.31,8/8,134.31,ACMESOLAR,False,True
3923.4,-22.5,-15.56,1/8,-3.06,AIAENG,False,False
2195.0,-3.39,22.0,6/8,97.0,APLAPOLLO,False,True
1036.4,-8.17,2.48,5/8,64.98,AUBANK,False,False
183.1,-33.7,1.07,2/8,26.07,AWL,False,False
457.85,-17.73,-4.35,2/8,20.65,AADHARHFC,False,False
496.0,-8.5,5.43,4/8,55.43,AARTIIND,False,False
1313.1,-24.38,-7.26,2/8,17.74,AAVAS,False,False
27225.0,-8.24,10.11,4/8,60.11,ABBOTINDIA,False,False
1241.9,0.0,26.19,8/8,126.19,ACE,False,True
3213.7,-12.96,2.18,6/8,77.18,ACUTAAS,False,False
1381.7,-20.66,-7.03,1/8,5.47,ADANIENSOL,False,False
2997.0,-6.7,1.16,6/8,76.16,ADANIENT,True,True
1304.0,-18.73,-12.65,3/8,24.85,ADANIGREEN,False,False
1795.0,-4.68,1.45,7/8,88.95,ADANIPORTS,False,True
206.96,-16.85,-8.26,2/8,16.74,ADANIPOWER,False,False
626.25,-22.52,-11.4,2/8,13.6,ATGL,False,False
397.0,-6.52,4.5,6/8,79.5,ABCAPITAL,False,True
49.22,-47.35,-15.73,2/8,9.27,ABFRL,False,False
80.74,-45.12,-14.41,1/8,-1.91,ABLBL,False,False
1201.1,-36.46,-5.21,1/8,7.29,ABREL,False,False
1027.0,-12.2,-7.6,4/8,42.4,ABSLAMC,False,False
3649.5,-6.4,3.75,6/8,78.75,CPPLUS,False,True
1424.5,-4.14,37.09,7/8,124.59,AEGISLOG,False,True
301.4,-5.31,25.68,8/8,125.68,AEGISVOPAK,False,True
260.35,-43.71,-13.71,1/8,-1.21,AFCONS,False,False
1592.3,-25.83,10.77,5/8,73.27,AFFLE,False,False
3519.3,-5.35,14.55,6/8,89.55,AJANTPHARM,False,True
5331.5,-8.59,2.73,4/8,52.73,ALKEM,False,False
647.9,-7.8,6.69,7/8,94.19,ABDL,False,True
793.2,-21.05,-3.7,0/8,-3.7,ARE&M,False,False
7000.0,-20.84,-8.25,0/8,-8.25,AMBER,False,False
386.9,-34.28,-6.39,1/8,6.11,AMBUJACEM,False,False
2179.0,-2.27,16.84,7/8,104.34,ANANDRATHI,False,True
