close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
1108.0,-8.43,-0.02,2/8,24.98,360ONE,False,False
34615.0,-6.69,8.1,4/8,58.1,3MINDIA,False,False
7120.0,-7.65,1.98,4/8,51.98,ABB,False,False
1251.4,-34.23,-4.57,2/8,20.43,ACC,False,False
452.3,-1.38,32.01,8/8,132.01,ACMESOLAR,False,True
3970.0,-21.58,-15.08,1/8,-2.58,AIAENG,False,False
2195.0,-3.39,21.51,6/8,96.51,APLAPOLLO,False,True
1053.0,-6.7,3.58,6/8,78.58,AUBANK,False,True
186.18,-32.58,2.23,2/8,27.23,AWL,False,False
454.55,-18.32,-5.51,2/8,19.49,AADHARHFC,False,False
491.35,-9.36,3.98,4/8,53.98,AARTIIND,False,False
1285.8,-25.95,-9.61,2/8,15.39,AAVAS,False,False
26935.0,-8.89,8.48,6/8,83.48,ABBOTINDIA,False,False
1253.9,0.0,26.89,8/8,126.89,ACE,False,True
3265.2,-11.56,3.28,6/8,78.28,ACUTAAS,False,False
1380.0,-20.76,-7.63,1/8,4.87,ADANIENSOL,False,False
2993.2,-6.81,0.55,6/8,75.55,ADANIENT,True,True
1300.9,-18.92,-13.34,3/8,24.16,ADANIGREEN,False,False
1807.3,-4.03,1.63,7/8,89.13,ADANIPORTS,False,True
204.8,-17.72,-9.67,2/8,15.33,ADANIPOWER,False,False
625.25,-22.64,-12.02,2/8,12.98,ATGL,False,False
402.45,-5.24,5.4,6/8,80.4,ABCAPITAL,False,True
49.09,-46.66,-16.43,1/8,-3.93,ABFRL,False,False
79.81,-45.75,-15.85,1/8,-3.35,ABLBL,False,False
1206.4,-36.07,-5.29,1/8,7.21,ABREL,False,False
1026.6,-12.23,-8.13,4/8,41.87,ABSLAMC,False,False
3831.9,-1.72,8.29,5/8,70.79,CPPLUS,False,False
1404.5,-5.48,34.72,7/8,122.22,AEGISLOG,False,True
302.8,-4.87,25.76,8/8,125.76,AEGISVOPAK,False,True
258.3,-44.15,-14.85,1/8,-2.35,AFCONS,False,False
1584.3,-23.99,9.74,5/8,72.24,AFFLE,False,False
3568.1,-4.04,15.61,6/8,90.61,AJANTPHARM,False,True
5417.5,-7.11,3.84,4/8,53.84,ALKEM,False,False
656.4,-6.59,7.56,7/8,95.06,ABDL,False,True
812.85,-19.1,-1.88,0/8,-1.88,ARE&M,False,False
7064.5,-20.11,-7.93,0/8,-7.93,AMBER,False,False
392.75,-33.28,-5.51,2/8,19.49,AMBUJACEM,False,False
2169.2,-2.7,15.84,7/8,103.34,ANANDRATHI,False,True
631.8,-13.97,21.61,6/8,96.61,ANANTRAJ,False,False
300.0,-15.18,-12.46,3/8,25.04,ANGELONE,False,False
881.9,-7.92,18.13,7/8,105.63,ANTHEM,False,True
1193.4,-13.16,-4.09,1/8,8.41,ANURAS,False,False
17876.0,-5.64,13.64,8/8,113.64,APARINDS,False,True
9069.0,0.0,9.93,8/8,109.93,APOLLOHOSP,True,True
405.7,-23.48,-1.98,1/8,10.52,APOLLOTYRE,False,False
251.33,-21.69,-4.4,1/8,8.1,APTUS,False,False
971.3,-8.73,15.6,7/8,103.1,ASAHIINDIA,False,True
162.89,-21.82,6.35,3/8,43.85,ASHOKLEY,False,False
2455.0,-16.58,-4.67,2/8,20.33,ASIANPAINT,True,False
760.05,-12.61,-1.05,2/8,23.95,ASTERDM,False,False
1394.8,-20.0,-7.6,2/8,17.4,ASTRAL,False,False
1499.4,-13.11,58.81,6/8,133.81,ATHERENERG,False,False
6118.0,-13.5,-3.36,2/8,21.64,ATUL,False,False
1721.5,-0.72,18.11,8/8,118.11,AUROPHARMA,False,True
561.45,-15.94,4.81,6/8,79.81,AIIL,False,False
3834.8,-17.46,-8.73,2/8,16.27,DMART,False,False
1243.2,-11.32,-5.7,0/8,-5.7,AXISBANK,True,False
2095.4,-5.45,22.28,8/8,122.28,BEML,False,True
230.07,-35.49,-10.95,1/8,1.55,BLS,False,False
3270.7,-25.53,-15.96,1/8,-3.46,BSE,False,False
11400.0,-7.77,14.59,5/8,77.09,BAJAJ-AUTO,True,False
1043.2,-9.98,11.12,4/8,61.12,BAJFINANCE,True,False
1846.5,-15.09,6.42,1/8,18.92,BAJAJFINSV,True,False
11449.0,-12.11,9.73,7/8,97.23,BAJAJHLDNG,False,False
83.52,-25.83,-3.44,2/8,21.56,BAJAJHFL,False,False
2199.6,-18.74,0.87,2/8,25.87,BALKRISIND,False,False
676.4,-11.82,28.78,4/8,78.78,BALRAMCHIN,False,False
191.38,-10.94,-4.62,4/8,45.38,BANDHANBNK,False,False
236.87,-24.63,-14.47,1/8,-1.97,BANKBARODA,False,False
139.65,-18.62,-1.69,1/8,10.81,BANKINDIA,False,False
84.11,-10.38,-3.27,3/8,34.23,MAHABANK,False,False
637.2,-45.56,-5.94,1/8,6.56,BATAINDIA,False,False
