close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
1180.0,-1.1,4.21,6/8,79.21,360ONE,False,True
35340.0,-4.74,12.07,7/8,99.57,3MINDIA,False,True
7649.0,-0.79,17.52,7/8,105.02,ABB,False,True
1321.4,-30.55,-6.42,0/8,-6.42,ACC,False,False
374.1,-5.05,29.31,6/8,104.31,ACMESOLAR,False,True
4482.8,-11.78,13.44,4/8,63.44,AIAENG,False,False
2083.3,-8.66,7.37,8/8,107.37,APLAPOLLO,False,True
1081.9,-1.47,4.93,8/8,104.93,AUBANK,False,True
192.16,-30.42,-6.66,2/8,18.34,AWL,False,False
498.2,-10.48,2.07,5/8,64.57,AADHARHFC,False,False
534.1,-0.76,11.27,8/8,111.27,AARTIIND,False,True
1397.4,-19.52,-2.77,3/8,34.73,AAVAS,False,False
27060.0,-16.75,-2.23,3/8,35.27,ABBOTINDIA,False,False
1085.6,-6.04,19.77,6/8,94.77,ACE,False,True
3235.6,-12.43,15.8,3/8,53.3,ACUTAAS,False,False
1616.0,-7.21,19.65,6/8,94.65,ADANIENSOL,False,True
3035.1,-5.51,9.07,5/8,71.57,ADANIENT,True,False
1348.0,-15.99,-7.58,2/8,17.42,ADANIGREEN,False,False
1700.0,-9.73,-6.59,3/8,30.91,ADANIPORTS,False,False
205.25,-17.54,-11.43,1/8,1.07,ADANIPOWER,False,False
654.05,-19.08,3.81,3/8,41.31,ATGL,False,False
401.0,-5.58,11.83,7/8,99.33,ABCAPITAL,False,True
55.98,-40.12,-16.04,2/8,8.96,ABFRL,False,False
88.77,-40.17,-16.44,1/8,-3.94,ABLBL,False,False
1402.9,-27.23,4.7,3/8,42.2,ABREL,False,False
1011.2,-13.55,-5.82,2/8,19.18,ABSLAMC,False,False
3519.0,-9.75,36.05,8/8,136.05,CPPLUS,False,True
1265.4,-9.73,91.8,6/8,166.8,AEGISLOG,False,True
269.1,-11.33,31.68,4/8,81.68,AEGISVOPAK,False,False
268.8,-41.88,-21.03,2/8,3.97,AFCONS,False,False
1668.8,-22.26,8.8,5/8,71.3,AFFLE,False,False
3672.8,0.0,10.87,8/8,110.87,AJANTPHARM,False,True
5368.0,-7.96,-6.42,4/8,43.58,ALKEM,False,False
599.45,-14.69,6.76,5/8,69.26,ABDL,False,False
945.95,-9.01,11.08,8/8,111.08,ARE&M,False,True
7222.0,-18.33,-15.72,1/8,-3.22,AMBER,False,False
417.5,-29.18,-8.34,1/8,4.16,AMBUJACEM,False,False
