close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
1137.0,-6.03,4.03,7/8,91.53,360ONE,False,True
32845.0,-11.46,1.87,3/8,39.37,3MINDIA,False,False
7410.0,-3.89,2.71,6/8,77.71,ABB,False,True
1283.8,-32.53,-5.17,1/8,7.33,ACC,False,False
418.0,0.0,14.93,8/8,114.93,ACMESOLAR,False,True
4231.2,-16.42,-10.56,2/8,14.44,AIAENG,False,False
2250.0,-1.35,22.36,8/8,122.36,APLAPOLLO,False,True
1065.0,-5.64,8.75,6/8,83.75,AUBANK,False,True
187.29,-32.18,-2.6,2/8,22.4,AWL,False,False
483.55,-13.11,0.85,2/8,25.85,AADHARHFC,False,False
492.05,-9.41,5.15,6/8,80.15,AARTIIND,False,True
1304.2,-24.89,-1.76,1/8,10.74,AAVAS,False,False
26065.0,-18.11,1.26,1/8,13.76,ABBOTINDIA,False,False
1125.4,-4.84,22.96,7/8,110.46,ACE,False,True
3168.5,-14.24,-7.07,2/8,17.93,ACUTAAS,False,False
1409.6,-19.06,-13.0,2/8,12.0,ADANIENSOL,False,False
2938.0,-8.53,-5.84,4/8,44.16,ADANIENT,True,False
1301.3,-18.9,-16.98,3/8,20.52,ADANIGREEN,False,False
1707.3,-9.34,-8.29,4/8,41.71,ADANIPORTS,False,False
207.2,-16.76,-13.19,3/8,24.31,ADANIPOWER,False,False
612.35,-24.24,-21.91,0/8,-21.91,ATGL,False,False
404.9,-4.66,12.44,6/8,87.44,ABCAPITAL,False,True
52.97,-43.34,-14.12,1/8,-1.62,ABFRL,False,False
86.07,-41.99,-16.22,2/8,8.78,ABLBL,False,False
1373.6,-28.75,7.94,3/8,45.44,ABREL,False,False
1062.3,-9.18,3.24,6/8,78.24,ABSLAMC,False,False
3704.6,-4.99,2.71,7/8,90.21,CPPLUS,False,True
1270.2,-10.42,63.48,4/8,113.48,AEGISLOG,False,False
284.5,-6.26,47.42,7/8,134.92,AEGISVOPAK,False,True
292.8,-36.69,-10.02,2/8,14.98,AFCONS,False,False
1616.5,-24.7,7.24,5/8,69.74,AFFLE,False,False
3464.8,-6.82,15.2,5/8,77.7,AJANTPHARM,False,False
5190.0,-11.02,-3.52,1/8,8.98,ALKEM,False,False
609.95,-13.2,3.67,4/8,53.67,ABDL,False,False
864.2,-16.87,-0.02,3/8,37.48,ARE&M,False,False
7474.0,-15.48,-3.93,3/8,33.57,AMBER,False,False
405.0,-31.2,-4.8,0/8,-4.8,AMBUJACEM,False,False
2215.9,0.0,24.11,7/8,111.61,ANANDRATHI,False,True
625.45,-14.83,7.63,5/8,70.13,ANANTRAJ,False,False
299.8,-15.24,-11.86,3/8,25.64,ANGELONE,False,False
934.05,-1.75,20.71,8/8,120.71,ANTHEM,False,True
1238.7,-9.98,-9.01,3/8,28.49,ANURAS,False,False
17421.0,-3.22,23.26,7/8,110.76,APARINDS,False,True
8650.0,-4.31,2.01,6/8,77.01,APOLLOHOSP,True,True
429.55,-18.98,6.6,2/8,31.6,APOLLOTYRE,False,False
258.85,-24.51,-4.7,2/8,20.3,APTUS,False,False
955.9,-10.36,5.18,6/8,80.18,ASAHIINDIA,False,False
169.0,-18.89,14.05,4/8,64.05,ASHOKLEY,False,False
2527.3,-14.12,-6.28,1/8,6.22,ASIANPAINT,True,False
785.75,-9.65,1.94,5/8,64.44,ASTERDM,False,False
1492.9,-14.38,-5.54,3/8,31.96,ASTRAL,False,False
1584.0,-8.21,50.98,8/8,150.98,ATHERENERG,False,True
6386.0,-9.71,-6.18,3/8,31.32,ATUL,False,False
1653.1,-3.72,10.78,7/8,98.28,AUROPHARMA,False,True
519.9,-22.16,10.09,4/8,60.09,AIIL,False,False
3770.0,-21.93,-11.3,0/8,-11.3,DMART,False,False
1273.0,-9.2,-0.4,4/8,49.6,AXISBANK,True,False
2057.8,-7.69,15.8,7/8,103.3,BEML,False,True
238.79,-34.99,-11.38,2/8,13.62,BLS,False,False
3409.8,-22.36,-14.16,2/8,10.84,BSE,False,False
11919.0,-3.58,12.98,7/8,100.48,BAJAJ-AUTO,True,True
1060.5,-8.48,17.7,5/8,80.2,BAJFINANCE,True,False
1970.0,-9.41,13.49,5/8,75.99,BAJAJFINSV,True,False
11162.0,-16.88,9.54,6/8,84.54,BAJAJHLDNG,False,False
83.08,-28.33,-3.53,0/8,-3.53,BAJAJHFL,False,False
2284.6,-15.6,4.76,3/8,42.26,BALKRISIND,False,False
690.6,-9.97,27.59,7/8,115.09,BALRAMCHIN,False,True
164.95,-23.24,-21.45,0/8,-21.45,BANDHANBNK,False,False
239.0,-23.95,-11.64,1/8,0.86,BANKBARODA,False,False
145.0,-15.5,1.75,5/8,64.25,BANKINDIA,False,False
85.95,-8.42,6.26,7/8,93.76,MAHABANK,False,True
672.75,-44.67,3.79,1/8,16.29,BATAINDIA,False,False
3989.9,-22.8,-10.25,1/8,2.25,BAYERCROP,False,False
236.86,-9.37,7.4,6/8,82.4,BELRISE,False,True
485.3,-17.14,-2.53,1/8,9.97,BERGEPAINT,False,False
1255.0,-22.81,1.67,2/8,26.67,BDL,False,False
405.35,-13.35,-2.84,2/8,22.16,BEL,False,False
1956.0,-13.65,-0.61,2/8,24.39,BHARATFORG,False,False
431.1,-2.61,9.5,7/8,97.0,BHEL,False,True
315.7,-18.7,4.74,5/8,67.24,BPCL,True,False
1840.0,-13.85,1.34,2/8,26.34,BHARTIARTL,True,False
1495.4,-21.02,-0.15,1/8,12.35,BHARTIHEXA,False,False
584.2,-26.96,-11.39,1/8,1.11,BIKAJI,False,False
397.4,-9.83,-6.42,1/8,6.08,BIOCON,False,False
289.35,-36.92,-12.7,1/8,-0.2,BSOFT,False,False
4991.7,-25.43,3.93,3/8,41.43,BLUEDART,False,False
569.8,-23.25,17.75,4/8,67.75,BLUEJET,False,False
1484.0,-26.05,-9.29,2/8,15.71,BLUESTARCO,False,False
1496.8,-28.14,-1.58,3/8,35.92,BBTC,False,False
46820.0,-6.36,25.32,7/8,112.82,BOSCHLTD,False,True
180.16,-55.99,-20.8,1/8,-8.3,FIRSTCRY,False,False
696.1,-10.57,40.7,7/8,128.2,BRIGADE,False,False
5101.5,-17.68,-0.98,2/8,24.02,BRITANNIA,True,False
972.2,-49.98,15.17,3/8,52.67,MAPMYINDIA,False,False
1106.2,-9.79,1.84,5/8,64.34,CCL,False,False
146.5,-23.55,-17.21,1/8,-4.71,CESC,False,False
891.0,-8.76,-7.06,4/8,42.94,CGPOWER,False,False
385.35,-21.39,-17.03,0/8,-17.03,CIEINDIA,False,False
4802.0,-4.16,21.81,8/8,121.81,CRISIL,False,True
807.4,-14.25,-2.26,1/8,10.24,CANFINHOME,False,False
125.5,-18.43,-6.82,0/8,-6.82,CANBK,False,False
157.23,0.0,12.99,8/8,112.99,CANHLIFE,False,True
2810.8,-1.2,35.98,8/8,135.98,CAPLIPOINT,False,True
279.9,0.0,35.87,8/8,135.87,CGCL,False,True
1130.6,-8.73,6.72,5/8,69.22,CARBORUNIV,False,False
3000.2,-8.19,50.92,6/8,125.92,CARTRADE,False,True
190.27,-1.33,4.87,7/8,92.37,CASTROLIND,False,True
3333.2,-21.74,3.23,1/8,15.73,CEATLTD,False,False
1297.4,-20.87,14.61,4/8,64.61,CEMPRO,False,False
31.08,-21.89,0.03,2/8,25.03,CENTRALBK,False,False
1394.6,-14.98,13.32,6/8,88.32,CDSL,False,False
896.75,-15.67,13.07,7/8,100.57,CHALET,False,False
419.05,-23.02,-11.47,1/8,1.03,CHAMBLFERT,False,False
1452.2,0.0,26.01,7/8,113.51,CHENNPETRO,False,True
760.95,-10.51,12.39,3/8,49.89,CHOICEIN,False,False
1525.7,-24.39,3.43,2/8,28.43,CHOLAHLDNG,False,False
1839.0,-5.21,20.11,6/8,95.11,CHOLAFIN,False,True
1385.0,-15.97,-2.11,4/8,47.89,CIPLA,True,False
236.01,0.0,27.45,8/8,127.45,CUB,False,True
836.15,-29.9,3.96,3/8,41.46,CLEAN,False,False
415.35,-11.51,-12.03,2/8,12.97,COALINDIA,True,False
1499.1,-21.84,1.9,3/8,39.4,COCHINSHIP,False,False
1972.8,-2.07,35.79,6/8,110.79,COFORGE,False,True
456.6,-55.23,5.3,6/8,80.3,COHANCE,False,False
1829.2,-24.09,-10.79,1/8,1.71,COLPAL,False,False
748.8,-9.71,-3.05,3/8,34.45,CAMS,False,False
1417.1,-16.09,13.08,5/8,75.58,CONCORDBIO,False,False
508.0,-8.61,10.72,4/8,60.72,CONCOR,False,False
1938.8,-19.1,5.74,2/8,30.74,COROMANDEL,False,False
11398.0,0.0,23.62,8/8,123.62,CRAFTSMAN,False,True
1443.1,-10.59,11.9,3/8,49.4,CREDITACC,False,False
232.4,-28.26,-14.05,1/8,-1.55,CROMPTON,False,False
5035.0,-15.77,-14.5,1/8,-2.0,CUMMINSIND,False,False
1101.8,-12.24,23.33,4/8,73.33,CYIENT,False,False
1020.9,-25.27,-1.74,0/8,-1.74,DCMSHRIRAM,False,False
681.9,-12.24,17.44,5/8,79.94,DLF,False,False
2208.7,-17.72,3.43,3/8,40.93,DOMS,False,False
380.9,-29.82,-11.3,1/8,1.2,DABUR,False,False
1749.3,-29.02,-0.37,2/8,24.63,DALBHARAT,False,False
4585.0,-5.57,6.8,5/8,69.3,DATAPATTNS,False,False
1362.1,-17.6,-6.09,2/8,18.91,DEEPAKFERT,False,False
1712.4,-8.3,0.12,7/8,87.62,DEEPAKNTR,False,True
457.9,-11.99,2.41,3/8,39.91,DELHIVERY,False,False
139.28,-26.27,20.84,5/8,83.34,DEVYANI,False,False
9100.0,-3.88,36.47,8/8,136.47,DIVISLAB,True,True
14240.0,-22.32,22.29,5/8,84.79,DIXON,False,False
1877.5,-4.62,18.82,7/8,106.32,LALPATHLAB,False,True
1151.0,-15.8,-11.65,0/8,-11.65,DRREDDY,True,False
781.35,-30.6,4.0,4/8,54.0,EIDPARRY,False,False
291.9,-29.88,-1.84,1/8,10.66,EIHOTEL,False,False
7630.5,-5.86,6.79,6/8,81.79,EICHERMOT,True,True
433.75,-30.7,-20.41,2/8,4.59,ELECON,False,False
642.1,0.0,1.63,8/8,101.63,ELGIEQUIP,False,True
366.05,-39.35,-7.15,1/8,5.35,EMAMILTD,False,False
1927.6,-3.89,7.66,6/8,82.66,EMCURE,False,True
2782.8,-8.14,7.08,6/8,82.08,ENDURANCE,False,True
279.45,-0.89,15.25,7/8,102.75,ENGINERSIN,False,True
1321.7,-25.34,-5.46,2/8,19.54,ERIS,False,False
2968.8,-23.84,5.67,3/8,43.17,ESCORTS,False,False
322.75,-8.92,23.56,7/8,111.06,ETERNAL,False,True
424.35,-13.51,4.44,4/8,54.44,EXIDEIND,False,False
332.5,-4.88,24.49,7/8,111.99,NYKAA,False,True
343.0,-7.41,10.89,6/8,85.89,FEDERALBNK,False,True
801.4,-20.4,-9.46,2/8,15.54,FACT,False,False
1220.2,-8.21,17.8,6/8,92.8,FINCABLES,False,True
264.4,-28.11,-3.62,1/8,8.88,FSL,False,False
523.05,-20.46,17.94,5/8,80.44,FIVESTAR,False,False
17500.0,-32.11,-6.35,1/8,6.15,FORCEMOT,False,False
905.0,-17.48,-5.74,2/8,19.26,FORTIS,False,False
173.4,-4.15,1.61,8/8,101.61,GAIL,False,True
4306.3,-21.99,-17.07,3/8,20.43,GVT&D,False,False
97.45,-15.25,-6.76,1/8,5.74,GMRAIRPORT,False,False
1353.2,-14.59,33.25,5/8,95.75,GABRIEL,False,False
574.0,-38.09,-13.48,2/8,11.52,GALLANTT,False,False
2533.2,-18.12,-6.99,0/8,-6.99,GRSE,False,False
358.45,-9.05,-7.53,3/8,29.97,GICRE,False,False
7312.5,-28.66,-6.4,1/8,6.1,GILLETTE,False,False
2932.4,-1.27,31.06,7/8,118.56,GLAND,False,True
2958.1,-4.77,34.48,7/8,121.98,GLAXO,False,True
2437.2,-3.0,9.82,8/8,109.82,GLENMARK,False,True
1469.8,-2.59,16.3,7/8,103.8,MEDANTA,False,True
258.3,-29.35,-16.75,1/8,-4.25,GODIGIT,False,False
240.67,-20.99,-16.03,1/8,-3.53,GPIL,False,False
2051.0,-43.3,-8.54,0/8,-8.54,GODFRYPHLP,False,False
878.0,-29.33,-13.81,1/8,-1.31,GODREJCP,False,False
1163.5,-17.93,9.32,3/8,46.82,GODREJIND,False,False
1982.0,-14.17,15.49,5/8,77.99,GODREJPROP,False,False
848.3,-5.89,5.35,5/8,67.85,GRANULES,False,False
733.6,-4.23,2.87,7/8,90.37,GRAPHITE,False,True
3322.0,-1.73,5.32,7/8,92.82,GRASIM,True,True
1661.6,-11.4,-0.38,3/8,37.12,GRAVITA,False,False
1369.7,-19.49,-7.71,3/8,29.79,GESHIP,False,False
4554.0,-4.55,25.7,7/8,113.2,FLUOROCHEM,False,True
562.95,-24.61,-16.69,0/8,-16.69,GMDCLTD,False,False
728.25,-1.49,33.49,7/8,120.99,HEG,False,True
695.75,-36.52,-14.75,2/8,10.25,HBLENGINE,False,False
1293.4,-23.01,10.88,3/8,48.38,HCLTECH,True,False
682.7,-13.44,4.38,3/8,41.88,HDBFS,False,False
2458.3,-14.61,-3.78,1/8,8.72,HDFCAMC,False,False
712.1,-28.29,-5.37,2/8,19.63,HDFCBANK,True,False
546.4,-30.4,-6.96,2/8,18.04,HDFCLIFE,True,False
231.44,-7.97,21.34,6/8,96.34,HFCL,False,True
