close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
1110.0,-8.26,3.01,6/8,78.01,360ONE,False,True
33145.0,-10.65,4.4,2/8,29.4,3MINDIA,False,False
7387.0,-4.19,5.2,5/8,67.7,ABB,False,False
1262.8,-33.63,-5.97,0/8,-5.97,ACC,False,False
412.6,-1.29,16.63,8/8,116.63,ACMESOLAR,False,True
4259.0,-15.87,-8.17,3/8,29.33,AIAENG,False,False
2185.0,-3.83,20.23,7/8,107.73,APLAPOLLO,False,True
1073.7,-4.86,9.87,6/8,84.87,AUBANK,False,True
187.52,-32.1,-0.71,2/8,24.29,AWL,False,False
479.65,-13.81,0.83,2/8,25.83,AADHARHFC,False,False
503.7,-7.26,14.23,5/8,76.73,AARTIIND,False,False
1293.5,-25.51,0.5,3/8,38.0,AAVAS,False,False
25555.0,-16.32,-0.77,1/8,11.73,ABBOTINDIA,False,False
1121.2,-5.19,24.86,7/8,112.36,ACE,False,True
3182.1,-13.88,-6.26,2/8,18.74,ACUTAAS,False,False
1407.7,-19.17,-12.55,2/8,12.45,ADANIENSOL,False,False
2953.1,-8.06,-2.55,3/8,34.95,ADANIENT,True,False
1292.0,-19.48,-17.49,3/8,20.01,ADANIGREEN,False,False
1710.0,-9.2,-7.08,4/8,42.92,ADANIPORTS,False,False
208.4,-16.27,-9.54,2/8,15.46,ADANIPOWER,False,False
609.4,-24.6,-19.18,0/8,-19.18,ATGL,False,False
396.95,-6.53,13.18,6/8,88.18,ABCAPITAL,False,True
52.24,-44.12,-15.27,2/8,9.73,ABFRL,False,False
84.52,-43.03,-15.63,2/8,9.37,ABLBL,False,False
1372.1,-28.82,11.08,3/8,48.58,ABREL,False,False
1037.8,-11.28,-0.34,4/8,49.66,ABSLAMC,False,False
3828.8,-1.8,8.31,6/8,83.31,CPPLUS,False,True
1268.1,-10.56,61.2,4/8,111.2,AEGISLOG,False,False
290.65,-4.23,50.06,7/8,137.56,AEGISVOPAK,False,True
280.25,-39.4,-12.25,2/8,12.75,AFCONS,False,False
1609.4,-25.03,5.34,5/8,67.84,AFFLE,False,False
3579.3,-3.74,19.45,6/8,94.45,AJANTPHARM,False,True
5181.0,-11.17,-5.32,1/8,7.18,ALKEM,False,False
594.5,-15.4,1.15,3/8,38.65,ABDL,False,False
837.8,-19.41,-0.35,2/8,24.65,ARE&M,False,False
7308.0,-17.35,-7.92,2/8,17.08,AMBER,False,False
398.3,-32.34,-5.47,0/8,-5.47,AMBUJACEM,False,False
2229.5,0.0,24.89,6/8,99.89,ANANDRATHI,False,True
625.85,-14.78,14.24,7/8,101.74,ANANTRAJ,False,False
298.0,-15.75,-10.44,3/8,27.06,ANGELONE,False,False
957.8,0.0,21.7,8/8,121.7,ANTHEM,False,True
1233.4,-10.36,-4.36,1/8,8.14,ANURAS,False,False
17635.0,-2.03,30.62,7/8,118.12,APARINDS,False,True
8837.5,-2.23,3.64,5/8,66.14,APOLLOHOSP,True,False
411.5,-22.38,4.06,1/8,16.56,APOLLOTYRE,False,False
256.96,-25.06,-1.84,2/8,23.16,APTUS,False,False
955.6,-10.39,6.7,5/8,69.2,ASAHIINDIA,False,False
169.0,-18.89,15.83,3/8,53.33,ASHOKLEY,False,False
2481.6,-15.68,-9.26,0/8,-9.26,ASIANPAINT,True,False
790.35,-9.12,0.94,5/8,63.44,ASTERDM,False,False
1500.8,-13.92,-2.75,3/8,34.75,ASTRAL,False,False
1578.0,-8.55,51.1,7/8,138.6,ATHERENERG,False,True
6314.5,-10.73,-5.96,2/8,19.04,ATUL,False,False
1692.0,-1.46,14.33,8/8,114.33,AUROPHARMA,False,True
526.2,-21.22,10.1,5/8,72.6,AIIL,False,False
3720.2,-22.09,-10.78,0/8,-10.78,DMART,False,False
1244.9,-11.2,-3.97,3/8,33.53,AXISBANK,True,False
2105.6,-5.55,17.66,7/8,105.16,BEML,False,True
237.7,-35.29,-11.67,1/8,0.83,BLS,False,False
3394.0,-22.72,-15.33,2/8,9.67,BSE,False,False
11880.0,-3.89,14.96,6/8,89.96,BAJAJ-AUTO,True,True
1054.1,-9.04,17.89,5/8,80.39,BAJFINANCE,True,False
1938.1,-10.88,12.88,4/8,62.88,BAJAJFINSV,True,False
11046.0,-17.74,7.38,5/8,69.88,BAJAJHLDNG,False,False
84.01,-27.53,-1.7,2/8,23.3,BAJAJHFL,False,False
2258.0,-16.58,5.96,2/8,30.96,BALKRISIND,False,False
711.45,-7.25,30.81,8/8,130.81,BALRAMCHIN,False,True
171.58,-20.15,-18.06,2/8,6.94,BANDHANBNK,False,False
236.6,-24.72,-15.26,0/8,-15.26,BANKBARODA,False,False
140.86,-17.91,-6.33,3/8,31.17,BANKINDIA,False,False
84.79,-9.65,-0.71,6/8,74.29,MAHABANK,False,False
663.85,-45.4,2.39,1/8,14.89,BATAINDIA,False,False
3984.9,-22.89,-7.91,0/8,-7.91,BAYERCROP,False,False
227.17,-13.08,-4.91,4/8,45.09,BELRISE,False,False
479.45,-18.14,-4.01,0/8,-4.01,BERGEPAINT,False,False
1242.5,-23.58,2.46,2/8,27.46,BDL,False,False
410.55,-12.24,-1.92,2/8,23.08,BEL,False,False
2003.7,-11.54,2.69,3/8,40.19,BHARATFORG,False,False
422.15,-4.63,5.11,6/8,80.11,BHEL,False,True
303.85,-21.75,3.41,4/8,53.41,BPCL,True,False
1844.0,-13.66,2.1,1/8,14.6,BHARTIARTL,True,False
1549.3,-18.18,4.44,2/8,29.44,BHARTIHEXA,False,False
583.7,-27.02,-12.74,1/8,-0.24,BIKAJI,False,False
392.3,-10.98,-7.35,0/8,-7.35,BIOCON,False,False
281.65,-38.6,-12.19,1/8,0.31,BSOFT,False,False
4987.2,-25.5,5.1,3/8,42.6,BLUEDART,False,False
581.5,-20.28,22.59,4/8,72.59,BLUEJET,False,False
1460.9,-27.2,-7.64,2/8,17.36,BLUESTARCO,False,False
1477.5,-29.07,-2.53,2/8,22.47,BBTC,False,False
48785.0,-2.43,28.15,7/8,115.65,BOSCHLTD,False,True
176.24,-56.95,-21.28,1/8,-8.78,FIRSTCRY,False,False
687.0,-11.74,40.7,7/8,128.2,BRIGADE,False,False
5064.0,-18.29,-0.89,2/8,24.11,BRITANNIA,True,False
968.8,-50.15,13.34,2/8,38.34,MAPMYINDIA,False,False
1130.6,-7.8,-5.56,4/8,44.44,CCL,False,False
146.05,-23.78,-15.41,1/8,-2.91,CESC,False,False
910.7,-6.74,-1.75,6/8,73.25,CGPOWER,False,False
383.4,-21.79,-14.66,0/8,-14.66,CIEINDIA,False,False
4754.5,-5.11,21.79,8/8,121.79,CRISIL,False,True
797.6,-15.29,-4.38,2/8,20.62,CANFINHOME,False,False
124.68,-18.96,-8.03,0/8,-8.03,CANBK,False,False
154.16,-1.95,8.46,6/8,83.46,CANHLIFE,False,True
2770.1,-2.63,29.01,8/8,129.01,CAPLIPOINT,False,True
270.75,-3.27,31.65,8/8,131.65,CGCL,False,True
1095.9,-11.53,3.93,4/8,53.93,CARBORUNIV,False,False
3176.7,-2.79,51.26,7/8,138.76,CARTRADE,False,True
189.46,-1.75,5.58,8/8,105.58,CASTROLIND,False,True
3313.2,-22.21,4.99,1/8,17.49,CEATLTD,False,False
1285.1,-21.62,5.34,4/8,55.34,CEMPRO,False,False
30.96,-22.19,-2.08,2/8,22.92,CENTRALBK,False,False
1400.0,-14.65,16.17,6/8,91.17,CDSL,False,False
897.75,-15.58,17.38,7/8,104.88,CHALET,False,False
