close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
1136.9,-6.04,4.94,6/8,79.94,360ONE,False,True
32840.0,-11.48,2.79,2/8,27.79,3MINDIA,False,False
7434.0,-3.58,5.26,5/8,67.76,ABB,False,False
1268.7,-33.32,-6.15,0/8,-6.15,ACC,False,False
413.15,-1.16,14.45,8/8,114.45,ACMESOLAR,False,True
4224.0,-16.56,-9.56,3/8,27.94,AIAENG,False,False
2215.0,-2.88,19.02,7/8,106.52,APLAPOLLO,False,True
1053.0,-6.7,7.08,5/8,69.58,AUBANK,False,False
188.27,-31.83,-0.93,2/8,24.07,AWL,False,False
478.95,-13.94,1.18,2/8,26.18,AADHARHFC,False,False
490.7,-9.66,10.61,5/8,73.11,AARTIIND,False,False
1306.2,-24.78,0.89,3/8,38.39,AAVAS,False,False
25940.0,-15.06,0.14,1/8,12.64,ABBOTINDIA,False,False
1113.2,-5.87,23.33,7/8,110.83,ACE,False,True
3181.6,-13.89,-6.9,2/8,18.1,ACUTAAS,False,False
1390.4,-20.17,-14.3,2/8,10.7,ADANIENSOL,False,False
2950.0,-8.16,-3.47,4/8,46.53,ADANIENT,True,False
1288.0,-19.73,-16.42,3/8,21.08,ADANIGREEN,False,False
1694.3,-10.03,-8.58,3/8,28.92,ADANIPORTS,False,False
204.49,-17.85,-12.3,3/8,25.2,ADANIPOWER,False,False
603.7,-25.31,-20.58,0/8,-20.58,ATGL,False,False
403.25,-5.05,14.39,6/8,89.39,ABCAPITAL,False,True
53.21,-43.08,-13.09,1/8,-0.59,ABFRL,False,False
85.55,-42.34,-14.63,2/8,10.37,ABLBL,False,False
1377.8,-28.53,10.69,3/8,48.19,ABREL,False,False
1041.9,-10.93,-0.56,4/8,49.44,ABSLAMC,False,False
3752.9,-3.75,6.83,7/8,94.33,CPPLUS,False,True
1253.7,-11.58,63.98,4/8,113.98,AEGISLOG,False,False
285.35,-5.98,52.14,7/8,139.64,AEGISVOPAK,False,True
293.2,-36.6,-8.27,2/8,16.73,AFCONS,False,False
1623.2,-24.39,5.64,5/8,68.14,AFFLE,False,False
3513.6,-5.5,16.6,6/8,91.6,AJANTPHARM,False,True
5242.5,-10.12,-4.79,1/8,7.71,ALKEM,False,False
600.0,-14.62,3.78,4/8,53.78,ABDL,False,False
842.95,-18.91,-0.01,2/8,24.99,ARE&M,False,False
7439.0,-15.87,-6.85,2/8,18.15,AMBER,False,False
398.6,-32.29,-6.38,0/8,-6.38,AMBUJACEM,False,False
2224.0,0.0,23.96,6/8,98.96,ANANDRATHI,False,True
638.25,-13.09,16.15,6/8,91.15,ANANTRAJ,False,False
303.8,-14.11,-9.27,3/8,28.23,ANGELONE,False,False
933.5,-1.81,18.22,8/8,118.22,ANTHEM,False,True
1233.6,-10.35,-8.09,1/8,4.41,ANURAS,False,False
17728.0,-1.51,30.7,7/8,118.2,APARINDS,False,True
8760.0,-3.09,2.09,5/8,64.59,APOLLOHOSP,True,False
420.8,-20.63,7.13,1/8,19.63,APOLLOTYRE,False,False
256.89,-25.08,-2.49,2/8,22.51,APTUS,False,False
954.65,-10.48,5.97,5/8,68.47,ASAHIINDIA,False,False
170.0,-18.41,17.71,4/8,67.71,ASHOKLEY,False,False
2500.9,-15.02,-7.97,1/8,4.53,ASIANPAINT,True,False
795.65,-8.51,1.01,5/8,63.51,ASTERDM,False,False
1498.2,-14.07,-3.54,3/8,33.96,ASTRAL,False,False
1599.3,-7.32,56.73,7/8,144.23,ATHERENERG,False,True
