close,pct_from_52w_high,rs_vs_nifty_pct,rules_passed,score,symbol,is_fno,qualifies
,,7.5,5/8,70.0,360ONE,False,False
,,3.79,3/8,41.29,3MINDIA,False,False
,,4.21,4/8,54.21,ABB,False,False
,,-8.37,1/8,4.13,ACC,False,False
,,25.64,6/8,100.64,ACMESOLAR,False,False
,,-5.19,0/8,-5.19,AIAENG,False,False
,,16.38,6/8,91.38,APLAPOLLO,False,False
,,7.89,6/8,82.89,AUBANK,False,False
,,3.02,5/8,65.52,AWL,False,False
,,-3.28,1/8,9.22,AADHARHFC,False,False
,,6.85,6/8,81.85,AARTIIND,False,False
,,-8.04,1/8,4.46,AAVAS,False,False
,,-3.54,1/8,8.96,ABBOTINDIA,False,False
,,24.58,4/8,74.58,ACE,False,False
,,10.18,4/8,60.18,ACUTAAS,False,False
,,4.22,4/8,54.22,ADANIENSOL,False,False
,,5.87,5/8,68.37,ADANIENT,True,False
,,-11.6,2/8,13.4,ADANIGREEN,False,False
,,-6.43,2/8,18.57,ADANIPORTS,False,False
,,-14.39,2/8,10.61,ADANIPOWER,False,False
,,-20.92,1/8,-8.42,ATGL,False,False
,,11.59,5/8,74.09,ABCAPITAL,False,False
,,-17.03,0/8,-17.03,ABFRL,False,False
,,-16.78,0/8,-16.78,ABLBL,False,False
,,10.65,3/8,48.15,ABREL,False,False
,,3.65,3/8,41.15,ABSLAMC,False,False
,,36.8,3/8,74.3,CPPLUS,False,False
,,81.99,4/8,131.99,AEGISLOG,False,False
,,27.39,3/8,64.89,AEGISVOPAK,False,False
,,-10.52,3/8,26.98,AFCONS,False,False
,,10.95,4/8,60.95,AFFLE,False,False
,,17.61,5/8,80.11,AJANTPHARM,False,False
,,-3.01,2/8,21.99,ALKEM,False,False
,,12.74,4/8,62.74,ABDL,False,False
,,0.49,4/8,50.49,ARE&M,False,False
,,1.69,4/8,51.69,AMBER,False,False
,,-10.92,2/8,14.08,AMBUJACEM,False,False
,,21.64,5/8,84.14,ANANDRATHI,False,False
,,18.5,4/8,68.5,ANANTRAJ,False,False
,,-12.68,2/8,12.32,ANGELONE,False,False
,,21.66,6/8,96.66,ANTHEM,False,False
,,-8.68,3/8,28.82,ANURAS,False,False
,,32.56,6/8,107.56,APARINDS,False,False
,,5.73,3/8,43.23,APOLLOHOSP,True,False
,,10.75,3/8,48.25,APOLLOTYRE,False,False
,,-3.15,2/8,21.85,APTUS,False,False
,,2.79,5/8,65.29,ASAHIINDIA,False,False
,,9.5,4/8,59.5,ASHOKLEY,False,False
,,-1.44,1/8,11.06,ASIANPAINT,True,False
,,1.06,3/8,38.56,ASTERDM,False,False
,,-4.96,3/8,32.54,ASTRAL,False,False
,,55.73,5/8,118.23,ATHERENERG,False,False
,,-6.27,2/8,18.73,ATUL,False,False
,,13.24,4/8,63.24,AUROPHARMA,False,False
,,10.68,3/8,48.18,AIIL,False,False
,,-7.48,1/8,5.02,DMART,False,False
,,-4.38,2/8,20.62,AXISBANK,True,False
,,4.17,5/8,66.67,BEML,False,False
,,-10.88,1/8,1.62,BLS,False,False
,,-22.23,1/8,-9.73,BSE,False,False
,,9.19,4/8,59.19,BAJAJ-AUTO,True,False
,,16.25,4/8,66.25,BAJFINANCE,True,False
,,10.49,4/8,60.49,BAJAJFINSV,True,False
,,8.56,5/8,71.06,BAJAJHLDNG,False,False
,,-1.62,2/8,23.38,BAJAJHFL,False,False
,,6.78,4/8,56.78,BALKRISIND,False,False
,,21.82,5/8,84.32,BALRAMCHIN,False,False
,,-17.61,2/8,7.39,BANDHANBNK,False,False
,,-8.95,1/8,3.55,BANKBARODA,False,False
,,0.81,5/8,63.31,BANKINDIA,False,False
,,6.6,5/8,69.1,MAHABANK,False,False
,,2.35,3/8,39.85,BATAINDIA,False,False
,,-11.4,1/8,1.1,BAYERCROP,False,False
,,4.32,3/8,41.82,BELRISE,False,False
,,-4.98,3/8,32.52,BERGEPAINT,False,False
,,4.41,4/8,54.41,BDL,False,False
,,-2.57,2/8,22.43,BEL,False,False
,,5.3,4/8,55.3,BHARATFORG,False,False
,,2.31,6/8,77.31,BHEL,False,False
,,2.76,3/8,40.26,BPCL,True,False
,,1.92,4/8,51.92,BHARTIARTL,True,False
,,1.46,3/8,38.96,BHARTIHEXA,False,False
,,-4.64,2/8,20.36,BIKAJI,False,False
,,-3.85,1/8,8.65,BIOCON,False,False
,,-11.71,2/8,13.29,BSOFT,False,False
,,4.1,2/8,29.1,BLUEDART,False,False
,,23.76,5/8,86.26,BLUEJET,False,False
,,-9.99,0/8,-9.99,BLUESTARCO,False,False
,,4.24,3/8,41.74,BBTC,False,False
,,35.49,5/8,97.99,BOSCHLTD,False,False
,,-18.75,0/8,-18.75,FIRSTCRY,False,False
,,32.42,5/8,94.92,BRIGADE,False,False
,,0.18,3/8,37.68,BRITANNIA,True,False
,,15.15,3/8,52.65,MAPMYINDIA,False,False
,,3.01,2/8,28.01,CCL,False,False
,,-15.89,1/8,-3.39,CESC,False,False
,,-4.72,2/8,20.28,CGPOWER,False,False
,,-14.59,1/8,-2.09,CIEINDIA,False,False
,,17.46,5/8,79.96,CRISIL,False,False
,,-3.39,1/8,9.11,CANFINHOME,False,False
,,-2.1,0/8,-2.1,CANBK,False,False
,,12.09,6/8,87.09,CANHLIFE,False,False
,,25.05,3/8,62.55,CAPLIPOINT,False,False
,,28.14,5/8,90.64,CGCL,False,False
,,6.08,4/8,56.08,CARBORUNIV,False,False
,,78.15,6/8,153.15,CARTRADE,False,False
,,2.51,5/8,65.01,CASTROLIND,False,False
,,6.85,2/8,31.85,CEATLTD,False,False
,,25.56,4/8,75.56,CEMPRO,False,False
,,-1.38,1/8,11.12,CENTRALBK,False,False
,,13.69,5/8,76.19,CDSL,False,False
,,13.03,6/8,88.03,CHALET,False,False
,,-10.74,1/8,1.76,CHAMBLFERT,False,False
,,33.25,4/8,83.25,CHENNPETRO,False,False
,,12.25,3/8,49.75,CHOICEIN,False,False
,,-8.01,1/8,4.49,CHOLAHLDNG,False,False
,,18.03,4/8,68.03,CHOLAFIN,False,False
,,0.3,3/8,37.8,CIPLA,True,False
,,20.76,6/8,95.76,CUB,False,False
,,8.95,3/8,46.45,CLEAN,False,False
,,-13.23,2/8,11.77,COALINDIA,True,False
,,0.48,4/8,50.48,COCHINSHIP,False,False
,,36.84,5/8,99.34,COFORGE,False,False
,,5.12,4/8,55.12,COHANCE,False,False
,,-11.34,0/8,-11.34,COLPAL,False,False
,,-5.84,1/8,6.66,CAMS,False,False
,,34.81,5/8,97.31,CONCORDBIO,False,False
